Saison;periode;labels;indice;FID;COMMENT;B;T;E;X;7_ane;8_ane;9_ane;10_ane;13_ane;14_ane;15_ane;16_ane;1_M_2_PA;BTM;AcAcBE;Carene;Pinene;Thujone;1_6ol_2_E;FormicAcid;aceticacid;NonanoicAc;DecanoicAc;Octanal;Nonanal;Decanal
été;CA2;ECA249;49;33;A01;100,099456;262,1738455;238,2985128;1091,335393;61,66035993;94,24178132;182,4461567;441,5877586;4536,740879;6086,052086;780,8795227;1895,575502;534,7706132;524,8681742;296,539273;790,188037;611,7009529;236,4115384;0;971,8247025;824,3377087;687,6252807;734,6225119;316,4915293;394,2230694;0
été;CA2;ECA250;50;34;B12;93,74668433;210,2222191;245,3553006;933,8710916;47,27789631;74,18034025;166,5609211;423,7768371;3288,441404;4492,870283;486,5339948;943,9598994;400,6498013;533,8387916;342,6306509;0;49,65446246;0;96,34050925;1000,778018;310,3841413;419,2371179;626,9925746;211,6360763;466,0529201;1734,108585
été;CA3;HCA351;51;0;B19;46,34079146;208,8852038;108,1540721;475,0513657;35,73130993;34,19110501;61,96595032;214,020568;301,3205184;1532,965559;274,3164352;1084,085833;125,5239094;416,0599395;204,6785454;;0;0;;270,1226794;155,873906;312,5165998;234,9765076;42,49492704;162,2228921;199,2926403
été;CA3;HCA352;52;1;B21;40,62181381;196,8430791;119,0968103;451,3183952;33,07530256;33,20106249;54,53125533;179,9647802;270,5876522;1228,347786;508,03642;611,4901968;98,20498309;314,6708064;158,706814;;0;0;;235,7370068;138,8875182;0;0;40,48314659;136,8545356;158,4875755
été;CA3;HCA353;53;3;B17;44,84515882;340,8855765;174,5325939;696,5041722;43,67934565;57,0060403;76,10316398;230,6660639;206,844128;1149,053018;565,8652339;612,0828775;134,6167083;417,2713874;210,2844061;;0;0;;190,4802609;152,3715172;48,11557274;138,5942126;52,55622713;202,9740253;142,297587
été;CA3;HCA354;54;4;B20;59,25417632;377,1548074;215,701246;909,7220594;73,73125625;75,02087852;87,22764572;320,0700431;310,5533593;1457,481437;698,8233014;701,1050746;64,75189312;344,1997403;118,3226819;;0;0;;306,6169608;0;0;0;31,52637481;162,5000636;0
été;CA3;HCA355;55;9;B05;51,52353454;231,8211067;157,5181396;617,0748528;39,60392886;35,39315471;69,86676863;244,8923281;0;450,3435367;241,1218002;421,196377;110,6745749;350,5417437;256,3819592;;0;0;;242,7205028;157,6401791;139,0006404;164,5512486;49,33569152;116,746259;226,9675251
été;CA3;HCA356;56;10;B06;45,64487212;187,4584056;116,4987557;449,6697159;33,37946799;30,15133269;50,43205287;223,4995708;63,30371135;370,0465725;172,4987638;128,4584525;88,60610411;202,9511693;139,3183299;;94,01510384;0;;275,2597206;386,6104281;0;0;60,17210117;114,5689965;95,89778889
été;CA3;HCA357;57;11;B07;61,8608642;227,0534159;129,5869052;469,4867289;39,30949332;46,95379496;63,2770534;215,9517264;138,6636904;775,2362455;1704,417071;1369,949793;57,07398608;144,9972342;130,0019602;;0;0;;53,33138558;265,1054579;0;122,3727901;20,05803572;83,37025428;140,0952214
été;CA3;HCA358;58;12;B03;54,32998814;222,6181816;129,3855604;491,7393488;35,58420814;36,61322433;55,62897221;202,8724739;145,709671;685,6676084;780,7888654;702,3584383;103,6226969;80,54956729;210,4756395;;13,9017834;0;;370,3141766;227,5823187;0;0;17,03434711;44,9144228;0
été;CA3;HCA359;59;13;B08;46,19398394;233,2374972;176,0646823;623,7688492;39,43676546;37,11981572;55,10062005;245,0449923;203,4102404;916,7630275;373,483962;332,9931473;122,5926437;297,461603;177,7333875;;0;0;;196,9138296;151,1172124;0;0;40,16284336;110,2461557;143,9233254
été;CA3;HCA360;60;14;B13;46,32699562;183,0975921;115,4922784;414,6943166;30,91419643;29,31149126;52,28994489;148,4685403;68,76494205;446,7216496;229,7202941;391,0329365;72,85489262;224,4206235;114,1627506;;0;0;;254,7287871;142,1741839;121,8826468;40,8023316;45,49789343;110,4227164;322,1082077
été;CA3;HCA361;61;15;B14;49,33622173;209,4912132;177,4545505;558,2159365;42,18546375;32,37729288;53,38178557;215,9510602;255,3562959;1354,688597;628,2722181;755,5207772;123,9442577;298,3239455;192,3555767;;0;0;;244,1579602;160,4362574;277,3977299;0;40,27123143;111,8867002;166,8694343
été;CA3;HCA362;62;16;B15;59,41851676;397,5973009;440,8172768;1356,964075;61,41630849;48,48235532;94,87718463;323,695766;215,2690733;1374,897402;6909,019657;910,5087921;313,7173432;528,6885274;359,0458686;;0;0;;38,31209715;225,8428088;0;211,1895475;204,5454648;115,4656119;0
été;CA3;HCA363;63;18;B09;50,40891908;326,7362948;216,7972559;886,7182465;52,9330665;55,15107457;88,4239967;319,3989789;273,4585879;1482,458367;658,2510976;1094,002338;411,4586541;656,5248159;411,4968321;;0;0;;267,0036096;184,8664083;286,8879623;0;41,90007552;83,67415514;161,8784364
été;CA3;HCA364;64;19;B16;50,26207733;243,842633;136,7106333;574,5001577;47,43093662;47,51503185;78,16611129;326,1047514;200,5182745;1056,370243;407,3608935;437,2811711;89,3323271;397,3806949;188,4672846;;0;0;;269,9673219;196,1116603;81,88400297;70,07931004;51,05184693;132,9727826;135,4124357
été;CA3;HCA365;65;21;A32;40,72160823;247,4775475;160,2230074;645,4073465;35,63397975;42,39224133;67,84666171;244,4167772;197,3539156;1039,5729;574,1193147;447,2717059;145,5692108;463,7670622;207,2984585;;0;0;;260,7201261;142,5516173;0;0;40,54833618;151,8577281;168,3731783
été;CA3;HCA366;66;25;A29;57,82079609;282,7049504;225,9267611;866,3957542;37,49332785;38,88458313;60,92932177;215,3672644;177,8005277;934,2490753;486,9024515;668,3065999;496,7781655;606,8037948;701,2487878;;0;0;;218,5947963;190,8458323;0;0;31,35320767;41,30076867;138,1030528
été;CA3;HCA367;67;26;A11;52,12240949;315,9244345;208,2966819;867,2713285;45,46528704;67,38049865;113,5302749;395,6544079;364,8433104;1716,440093;814,0805076;0;211,3232881;587,8440922;298,6380002;;18,27582255;53,13579777;;126,6934356;207,8431114;0;244,0347599;0;44,88679257;0
été;CA3;HCA368;68;27;A26;50,49606447;154,9934923;93,92792675;347,0832057;29,9325628;36,37753063;76,89080168;168,5855405;72,45999854;152,1645918;105,7380772;0;89,32473041;211,0078731;147,4003166;;0;0;;306,4879711;195,9400843;0;0;132,6683939;238,4644822;0
été;CA3;HCA369;69;29;A27;59,03525162;179,6672819;104,3495346;386,4353955;30,60887119;36,77999085;54,63467044;244,9559871;75,5421124;488,6536248;499,5273543;506,4328406;55,56219769;86,24258538;124,0198292;;0;0;;64,34782374;186,4657897;188,7499975;0;0;53,84538409;228,5583616
été;CA3;HCA370;70;30;A28;58,75372648;277,2700154;241,430913;791,6797885;46,50410254;40,40276461;61,50897362;250,4869353;240,8663209;1458,335966;2761,649106;0;285,6483424;245,1192387;320,6956517;;0;0;;13,93740134;337,2987268;0;171,3109809;0;91,19734483;33,2597409
été;CA3;HCA371;71;31;A25;58,49967318;277,2185193;204,7640561;835,8852573;57,3321649;45,93552474;73,32299522;331,2075975;362,7088295;2129,878719;1820,312606;1897,327494;535,4586287;322,2523559;574,5660299;;0;0;;191,6267983;385,4114789;0;296,5089229;0;178,3430122;158,00166
été;CA3;HCA372;72;32;A02;59,66254553;255,2486754;170,6182005;614,615877;42,1914697;47,561444;75,54060447;235,7638027;143,9202741;1009,304648;3336,02182;1616,711693;92,11836729;158,4216743;162,1952978;;195,0172709;0;;166,64937;328,9749307;0;58,8059202;87,29788469;27,82128059;0
été;CA3;HCA373;73;33;A01;55,11331533;273,7610706;177,2329317;626,2691758;44,66203251;47,92533712;73,97368266;257,4580342;174,7321385;1363,012013;0;1082,546005;105,2731517;214,6055931;180,5399448;;410,992226;170,5514508;;305,09476;456,4767299;325,7755281;0;105,9507754;46,51852451;0
été;CA3;HCA374;74;34;B12;49,44843697;201,6156074;126,1552297;477,6401215;37,25831857;34,24973885;55,58124506;229,2923559;274,2878309;1341,639291;567,7726718;0;90,14845217;340,1504357;162,9259288;;0;0;;250,9727691;171,0392149;303,5598116;127,9672387;41,93332809;141,5337271;129,7956409
été;CA4;ECA475;75;0;B19;62,34747533;135,5640122;151,6221922;733,1470938;;;96,20440433;160,9836661;507,2939007;1604,493557;2106,138684;1513,280869;142,5852338;245,2964919;;;34,19087925;;852,0287951;567,0200638;129,9388187;1924,548835;;98,27310687;547,0755507;
été;CA4;ECA476;76;1;B21;75,4107189;120,5695935;120,5871692;493,4502422;;;97,04564939;187,119475;416,6917497;1383,949158;3440,069088;1805,090667;86,61324076;222,9702937;;;0;;1208,703271;641,3188673;155,0192082;2114,610884;;49,26670634;197,7148763;
été;CA4;ECA477;77;2;B18;73,62509274;110,2236922;168,4740485;605,5099892;;;101,5138168;367,6435834;1771,421041;3727,510235;2281,969586;2138,072657;434,1975637;460,5706766;;;49,65132125;;268,217613;439,8570769;340,0694353;2350,443895;;56,87990403;165,2648326;
été;CA4;ECA478;78;3;B17;61,09163829;134,6751313;228,3520007;956,2479457;;;91,35789791;211,0299866;865,9456097;2139,91635;5363,638323;2301,323348;229,7658509;335,6385101;;;14,86072574;;1446,252284;455,9606764;127,2346766;1970,023421;;68,23135005;283,8264297;
été;CA4;ECA479;79;4;B20;8,383893439;66,27758352;258,6860045;284,0695769;;;612,7994248;93,4290441;441,1558865;1527,776925;3826,344642;1504,974925;5,038233474;117,0751862;;;150,7621061;;231,9148017;1206,84675;397,5946131;613,9110734;;184,2781752;964,0337487;
été;CA4;ECA480;80;9;B05;86,77810307;114,7014873;193,6881467;815,9579815;;;74,45543244;175,2623647;512,1565557;1292,521342;4140,350685;1215,672512;246,3770988;304,6692118;;;17,12951371;;1302,80203;3618,024076;450,5217608;2018,240019;;26,89724612;731,3796353;
été;CA4;ECA481;81;10;B06;66,40799405;114,0873611;16,52629666;109,7583865;;;58,22221407;343,0407255;772,1258665;2045,839694;2210,395813;1312,290519;842,4170538;695,7465068;;;0;;1533,518196;588,0371074;144,7126244;2140,175855;;107,2082061;578,1152157;
été;CA4;ECA482;82;11;B07;64,773838;98,53696507;87,9992648;452,382887;;;128,5047861;253,2819513;512,2507056;1832,928855;2447,395325;1964,497299;167,2454205;367,1032562;;;60,69447478;;844,6507215;495,1981029;134,7617492;2364,234532;;109,8739612;545,71041;
été;CA4;ECA483;83;12;B03;59,07374209;14,36317753;71,69656043;293,217179;;;74,88166675;145,5947539;523,7090247;1750,801032;2264,245743;1522,040567;90,40428848;202,4422391;;;36,70315936;;1070,030777;505,4606744;124,0228084;2148,416758;;121,8589839;580,5778815;
été;CA4;ECA484;84;13;B08;79,41872703;92,82690415;150,1826295;683,0419211;;;90,65602653;144,795805;276,0737181;991,4028212;1061,784442;953,06493;144,934193;222,8165983;;;24,57478275;;1271,891849;581,139533;132,8672206;1479,147618;;59,64744677;68,5108869;
été;CA4;ECA485;85;14;B13;61,30790979;150,6867979;138,6048258;631,8991465;;;103,5478748;242,1183703;152,5478906;1934,630058;6029,804665;1906,665975;212,8083126;346,2996976;;;126,8605561;;82,13366774;722,8861707;330,7655613;2451,3869;;72,76135151;251,5215009;
été;CA4;ECA486;86;15;B14;70,31812573;63,36669674;60,43597852;254,2862308;;;86,90243701;137,8710318;80,02197902;1672,883797;4956,597961;1777,214651;75,92293895;192,8025636;;;39,83189822;;914,5082197;537,7678381;127,1259063;1934,440237;;90,66421413;378,0652742;
été;CA4;ECA487;87;16;B15;78,34969964;201,8373062;158,3598036;830,6170467;;;119,7795805;283,8483352;453,5201098;1926,515049;3754,473192;1953,516086;340,2642804;570,1849277;;;66,45901314;;1401,916566;559,6414871;234,6465672;2981,690091;;115,0205948;493,7883885;
été;CA4;ECA488;88;17;B04;80,7966703;118,6575064;128,5896913;670,4408823;;;82,57080667;39,85984811;1289,432701;492,9097256;1182,064087;1623,424795;147,4674288;126,3617256;;;23,80364669;;234,3972501;72,45861582;1364,164215;356,8926749;;209,2088777;869,5934931;
été;CA4;ECA489;89;18;B09;76,29316255;97,73660138;140,5051316;715,3489225;;;62,05054204;16,28053808;561,6746047;1530,223278;3407,59362;1603,736853;301,3956156;197,4752252;;;30,45019057;;47,7398147;749,4937329;243,9096841;1234,690124;;155,079065;279,5196307;
été;CA4;ECA490;90;19;B16;68,51996705;161,3768272;271,4980221;1387,780349;;;132,7787873;299,1901104;519,7875802;1860,988107;6449,74258;1859,623112;269,2949863;504,3148492;;;7,374016148;;1273,634373;777,331043;140,1982607;1820,492028;;71,41570605;331,4257314;
été;CA4;ECA491;91;21;A32;68,91949033;99,8608977;106,8889823;578,0298503;;;106,4780975;232,0390025;481,0896837;1518,544081;3211,948399;1516,749295;143,069328;321,479485;;;32,27883656;;2410,136316;1470,053631;235,785849;2262,761816;;77,12921104;376,2536308;
été;CA4;ECA492;92;22;A33;85,78570894;230,9744691;203,7563081;1028,327548;;;110,6650544;278,2190671;414,595361;1528,128913;3076,367474;2288,038105;568,3835837;614,0978949;;;5,571811699;;768,6095355;579,5457811;158,1902619;742,3965212;;90,97439563;403,5194943;
été;CA4;ECA493;93;25;A29;66,07104063;101,1464466;90,94410572;379,9441612;;;59,80301156;131,2050994;462,7424579;1557,202151;2676,875892;2311,109534;98,68951503;224,5396399;;;49,98693492;;924,1593221;539,3263799;135,4103323;1292,205504;;66,20070763;286,6369752;
été;CA4;ECA494;94;26;A11;71,33566485;250,1579752;470,2852243;1838,077282;;;86,05122922;278,5765745;531,6731535;1885,840726;2716,286007;1763,221465;281,8664287;386,5596126;;;37,62491092;;1529,63689;499,3782403;121,7435346;2111,700003;;121,6107262;625,2285758;
été;CA4;ECA495;95;27;A26;71,03579594;104,4598356;107,3232551;511,9922503;;;56,74467162;141,2553416;471,5057065;1448,612511;3708,845761;1963,14349;101,1579825;212,3051907;;;39,30400792;;769,4743655;643,0449463;201,265968;1722,439683;;32,19401156;246,1352914;
été;CA4;ECA496;96;28;A30;69,27136373;111,4478612;95,89113578;519,1705748;;;80,17497853;208,8806647;577,7976326;2288,022055;4501,865938;1637,368643;114,9640852;324,1011966;;;50,70697654;;991,2917014;858,2745781;234,563116;2157,709309;;33,52624381;183,1683105;
été;CA4;ECA497;97;29;A27;90,28455944;147,4270791;131,4028636;565,3250802;;;65,37416406;257,4596468;650,9416763;1870,777112;3447,336092;1556,935347;204,8419807;363,2446652;;;77,40839521;;1448,828251;3359,132105;3187,261794;2159,152855;;63,43015878;830,1682729;
été;CA4;ECA498;98;30;A28;64,39774843;128,7650943;13,5749434;386,7257862;;;86,16072956;219,5354214;590,4151195;1836,788931;4047,51034;1696,574264;205,6026289;325,5942264;;;24,95012579;;1432,025698;623,0958994;136,3435723;1100,062403;;66,09516981;296,3464025;
été;CA4;ECA499;99;31;A25;62,15316981;72,17128302;81,98265409;328,8023648;;;78,28374843;137,4701509;327,7912453;1103,562579;2019,739912;1453,578956;114,747673;319,7544654;;;0;;1045,035157;548,570717;123,9266667;2022,24844;;102,9786289;507,9211824;
été;CA4;ECA4100;100;32;A02;56,22712929;89,06269542;71,1588157;370,689752;;;62,81645799;144,0092074;329,3830206;1381,755843;3195,502002;2154,667844;162,0607174;250,7847435;;;9,568038992;;1338,631076;2160,565997;2200,689062;807,8914267;;26,86658075;359,1338092;
été;CA4;ECA4101;101;33;A01;70,58414143;120,573909;206,5738766;917,5481444;;;121,89295;289,1766034;594,1968178;1701,37681;2404,851557;1681,133134;632,2908933;592,9876236;;;43,85671508;;1118,900391;503,6722227;150,047883;1861,013312;;89,40293432;591,333831;
été;CA4;ECA4102;102;34;B12;71,36058371;105,390824;122,0170015;583,1849387;;;80,18736011;171,2718592;543,6495654;1890,228756;2445,786809;1348,13471;148,303996;250,5716358;;;33,41160205;;1892,089883;490,3645473;163,7928111;1467,708898;;94,56825318;305,8369367;
